timestamp,open,high,low,close,volume,value,trade_cnt,active_buy_volume,active_buy_value
2025-02-25 23:35:00,86237.90,86262.30,86080.10,86083.50,838.732,72258110.68240,16611,400.044,34465975.88840
2025-02-25 23:36:00,86088.70,86738.90,86020.40,86706.40,1773.660,153305534.95360,24088,1178.308,101873838.16510
2025-02-25 23:37:00,86706.40,86950.00,86696.80,86793.40,1482.763,128781897.78530,21328,816.740,70930703.66410
2025-02-25 23:38:00,86793.40,87128.00,86774.90,86877.70,1536.469,133619949.74280,20919,871.323,75772238.47090
2025-02-25 23:39:00,86877.70,87018.00,86753.10,87018.00,799.776,69502355.28940,15373,378.769,32918990.97940
2025-02-25 23:40:00,87017.90,87186.70,86910.40,87062.70,1292.107,112491059.47530,17332,559.213,48686569.35410
2025-02-25 23:41:00,87062.70,87096.90,86808.30,86894.80,756.313,65752844.84110,14812,330.400,28721554.30860
2025-02-25 23:42:00,86894.90,86922.80,86755.80,86857.80,386.109,33528554.17660,10814,205.533,17848330.28310
2025-02-25 23:43:00,86857.70,87066.40,86847.00,87022.00,433.801,37737610.32420,12033,241.268,20986357.28090
2025-02-25 23:44:00,87022.00,87073.40,86832.40,86946.80,456.632,39704619.69250,10506,212.659,18488854.86400
2025-02-25 23:45:00,86946.70,87222.00,86923.00,87184.90,799.179,69606622.18710,14995,424.236,36950300.01830
2025-02-25 23:46:00,87185.00,87216.10,86976.40,87112.60,709.225,61776703.93940,12825,442.756,38566331.70320
2025-02-25 23:47:00,87112.70,87140.60,86885.60,87101.20,568.540,49474867.70500,12292,273.566,23804108.90660
2025-02-25 23:48:00,87102.50,87153.60,86922.40,86930.30,341.489,29726832.64960,9949,160.851,14003560.73050
2025-02-25 23:49:00,86930.30,87090.00,86911.10,87048.90,411.634,35814763.67140,8597,228.009,19836486.11500
2025-02-25 23:50:00,87049.00,87154.90,86955.70,87138.40,506.658,44103972.30650,9004,204.053,17765650.57210
2025-02-25 23:51:00,87138.40,87523.80,87138.40,87513.50,1141.846,99780387.22090,17547,749.617,65497079.90860
2025-02-25 23:52:00,87513.50,87696.90,87511.30,87547.50,1141.040,99935234.08960,15819,588.917,51577774.65680
2025-02-25 23:53:00,87547.40,87745.00,87511.30,87661.80,681.490,59725179.47550,11834,344.656,30205467.86880
2025-02-25 23:54:00,87661.80,87688.70,87595.20,87597.10,510.417,44733523.63560,10547,194.350,17033622.68020
2025-02-25 23:55:00,87597.00,87598.20,87413.00,87522.90,627.785,54933707.92530,10822,244.787,21420505.78170
2025-02-25 23:56:00,87522.90,87600.00,87458.20,87546.40,340.022,29765815.89560,8558,156.163,13672224.52020
2025-02-25 23:57:00,87546.40,87546.40,87355.20,87440.90,348.674,30483997.76890,9204,136.911,11970283.15930
2025-02-25 23:58:00,87440.90,87474.60,87314.10,87414.60,323.047,28225018.91900,7382,140.222,12251570.29520
2025-02-25 23:59:00,87415.20,87428.50,87149.20,87206.90,410.966,35848328.78260,8314,102.157,8910797.51910
2025-02-26 00:00:00,87206.80,87294.50,87092.60,87216.90,515.223,44920470.24900,10450,174.830,15245937.66620
2025-02-26 00:01:00,87216.90,87264.30,87028.40,87078.60,504.721,43969509.34170,10938,256.052,22308182.58100
2025-02-26 00:02:00,87078.60,87093.40,86802.80,86882.40,782.189,67992077.60800,14243,337.873,29361014.40620
2025-02-26 00:03:00,86882.30,86973.00,86733.00,86895.60,663.254,57590398.42590,11486,310.365,26949221.22760
2025-02-26 00:04:00,86895.50,86995.90,86791.70,86863.30,447.393,38869206.72200,9641,256.161,22253352.50630
2025-02-26 00:05:00,86863.30,86900.00,86727.40,86847.80,493.573,42838670.64810,9297,258.232,22412055.63530
2025-02-26 00:06:00,86847.90,87023.30,86816.70,86949.40,455.416,39587561.19810,10529,251.107,21827784.27830
2025-02-26 00:07:00,86949.30,87049.90,86907.70,86957.00,486.747,42338654.75540,9979,237.636,20669910.97410
2025-02-26 00:08:00,86956.90,86971.80,86800.90,86800.90,412.608,35856733.10850,9218,178.150,15481486.06220
2025-02-26 00:09:00,86801.00,86910.70,86762.30,86892.50,302.897,26303587.86860,8575,145.543,12638881.52190
2025-02-26 00:10:00,86892.50,86989.60,86793.40,86945.30,354.181,30785217.04280,8988,201.626,17526597.08960
2025-02-26 00:11:00,86945.20,87088.00,86817.60,86878.30,380.882,33122271.07660,9135,177.636,15449658.68070
2025-02-26 00:12:00,86878.40,87175.10,86878.40,87175.10,322.251,28053142.53820,8162,199.863,17399312.33530
2025-02-26 00:13:00,87175.10,87250.00,87093.30,87223.40,524.583,45736999.39070,9565,290.005,25282813.35960
2025-02-26 00:14:00,87223.50,87268.90,87042.40,87071.40,288.540,25143216.41950,8607,119.256,10391533.39870
2025-02-26 00:15:00,87071.50,87134.20,86998.90,87016.20,275.755,24011378.61380,8452,118.532,10320872.54040
2025-02-26 00:16:00,87016.20,87016.30,86730.00,86735.40,539.280,46834929.41090,11453,187.916,16323165.66650
2025-02-26 00:17:00,86734.70,86871.30,86655.10,86799.00,526.031,45625649.96370,10879,260.592,22605748.12770
2025-02-26 00:18:00,86798.90,86846.50,86667.10,86771.60,352.955,30624845.80490,8502,163.045,14145810.11080
2025-02-26 00:19:00,86771.60,86903.20,86771.40,86773.10,247.233,21470529.93360,7165,128.090,11123736.07050
2025-02-26 00:20:00,86773.00,86911.90,86773.00,86846.70,228.477,19843812.70990,6833,151.326,13141596.64670
2025-02-26 00:21:00,86846.70,86846.90,86713.20,86727.30,336.143,29165145.77370,7100,171.395,14868758.32780
2025-02-26 00:22:00,86727.30,86775.60,86654.90,86698.60,398.680,34568436.99620,8583,174.633,15142440.69020
2025-02-26 00:23:00,86698.70,86727.70,86518.80,86607.50,522.375,45230253.47850,10667,214.892,18604938.41080
2025-02-26 00:24:00,86607.00,86660.00,86557.00,86605.00,203.522,17625704.67620,7171,109.738,9503653.82910
2025-02-26 00:25:00,86605.00,86612.20,86472.80,86478.50,509.186,44054780.41360,9729,209.842,18156380.90260
2025-02-26 00:26:00,86478.40,86509.20,86291.10,86346.00,708.917,61235030.51590,12578,242.144,20914767.00020
2025-02-26 00:27:00,86346.00,86448.30,86301.00,86358.20,322.979,27896743.79650,8149,171.124,14780696.62220
2025-02-26 00:28:00,86358.20,86448.90,86290.10,86448.80,434.025,37479739.14970,8298,264.557,22846181.99460
2025-02-26 00:29:00,86448.90,86463.00,86350.00,86350.10,179.894,15543399.01780,5160,88.926,7683873.24440
2025-02-26 00:30:00,86350.10,86481.60,86303.40,86460.10,473.143,40881345.98190,9692,276.228,23867238.30420
2025-02-26 00:31:00,86460.00,86512.00,86200.00,86236.60,584.063,50427118.44940,10768,198.960,17184808.88110
2025-02-26 00:32:00,86236.50,86299.60,86133.00,86264.60,593.352,51151714.56120,10740,267.362,23050269.37710
2025-02-26 00:33:00,86264.70,86444.20,86254.00,86389.40,326.389,28193228.77650,8030,212.110,18321056.42610
2025-02-26 00:34:00,86389.10,86431.30,86250.60,86331.50,394.619,34070977.50060,8357,202.789,17507913.45510
2025-02-26 00:35:00,86331.40,86351.70,86136.60,86166.10,392.636,33845188.82450,8753,159.118,13716131.46970
2025-02-26 00:36:00,86166.10,86350.00,86125.90,86318.60,331.725,28620386.66810,8190,178.540,15403317.09650
2025-02-26 00:37:00,86318.50,86650.00,86288.30,86634.90,1024.893,88702529.37960,15400,807.299,69869590.35640
2025-02-26 00:38:00,86634.70,86763.10,86634.70,86761.90,609.517,52845969.35250,11542,363.667,31530664.80860
2025-02-26 00:39:00,86761.90,86881.50,86713.40,86800.70,542.839,47122579.58320,9708,326.638,28357582.63760
2025-02-26 00:40:00,86800.70,86968.00,86768.60,86902.40,658.852,57237608.34820,10461,405.108,35192883.55260
2025-02-26 00:41:00,86902.30,87016.10,86862.50,86911.90,553.101,48098370.11490,9719,333.563,29006474.23290
2025-02-26 00:42:00,86912.30,87036.60,86856.10,86985.90,388.294,33766775.73640,8501,222.913,19388884.34400
2025-02-26 00:43:00,86985.90,87200.00,86975.30,87159.50,623.569,54313027.55840,9722,346.502,30181345.93200
2025-02-26 00:44:00,87159.40,87293.80,87146.90,87256.80,711.500,62054184.38310,11716,422.853,36879707.60570
2025-02-26 00:45:00,87256.90,87443.60,87230.90,87440.90,597.690,52195486.14600,11611,326.956,28554334.32770
2025-02-26 00:46:00,87440.80,87550.00,87316.30,87333.50,798.207,69818189.94910,12181,327.655,28664279.51600
2025-02-26 00:47:00,87333.60,87367.40,87195.30,87213.20,567.901,49563554.62050,10973,240.956,21032680.97290
2025-02-26 00:48:00,87214.60,87260.00,87180.90,87205.60,331.108,28878598.26940,7337,126.194,11006604.51570
2025-02-26 00:49:00,87205.60,87377.00,87205.60,87343.80,320.757,27999867.40330,7264,215.898,18847453.19840
2025-02-26 00:50:00,87343.90,87570.50,87335.00,87570.40,410.945,35942424.57240,8691,275.119,24064982.06580
2025-02-26 00:51:00,87570.40,87732.00,87570.40,87662.70,640.728,56176428.98040,10244,355.524,31168044.98650
2025-02-26 00:52:00,87662.70,87727.80,87610.10,87700.10,433.362,37997984.35360,7752,199.104,17457918.73320
2025-02-26 00:53:00,87700.10,87720.00,87595.60,87595.70,428.308,37546282.12090,7030,156.121,13685053.02870
2025-02-26 00:54:00,87595.60,87698.70,87525.00,87563.10,335.750,29420300.93860,6258,163.770,14353361.83530
2025-02-26 00:55:00,87563.10,87677.20,87511.70,87660.60,284.467,24920811.85950,5469,142.521,12485517.30240
2025-02-26 00:56:00,87660.50,87702.10,87611.20,87649.90,237.853,20853462.28810,4318,124.189,10888096.46140
2025-02-26 00:57:00,87650.00,87745.00,87600.00,87651.80,501.281,43940008.33010,6560,180.696,15843059.66380
2025-02-26 00:58:00,87651.90,87651.90,87473.70,87489.00,296.494,25955616.46240,5367,115.460,10107719.16250
2025-02-26 00:59:00,87489.00,87513.00,87400.00,87429.00,289.567,25323773.40670,5926,151.127,13216532.03150
2025-02-26 01:00:00,87429.10,87622.20,87340.70,87622.20,335.438,29336699.10450,6987,190.865,16697712.95310
2025-02-26 01:01:00,87622.20,87641.40,87439.60,87507.90,187.799,16438406.03620,5305,78.657,6884207.28180
2025-02-26 01:02:00,87508.50,87587.00,87506.80,87562.50,163.314,14297812.94530,5235,94.583,8280310.92330
2025-02-26 01:03:00,87562.40,87599.00,87515.40,87515.40,212.999,18649954.10630,6083,111.943,9801808.38560
2025-02-26 01:04:00,87515.40,87515.40,87365.60,87377.40,240.641,21038016.98510,5786,107.317,9382495.20240
2025-02-26 01:05:00,87377.40,87420.00,87222.70,87223.50,438.910,38317753.65330,8066,141.579,12361397.73960
2025-02-26 01:06:00,87223.50,87257.40,87106.10,87160.50,544.490,47486353.91340,7643,263.705,23004111.65410
2025-02-26 01:07:00,87160.50,87223.60,87061.90,87179.20,433.791,37801336.71050,7436,123.122,10728343.35110
2025-02-26 01:08:00,87179.20,87270.00,87159.60,87266.40,304.730,26578334.89360,5622,205.079,17886695.66110
2025-02-26 01:09:00,87266.40,87397.30,87252.60,87270.30,205.343,17928472.58660,4724,118.654,10359927.39730
2025-02-26 01:10:00,87270.20,87500.00,87263.70,87495.80,813.540,71096877.99680,8965,688.499,60168326.22100
2025-02-26 01:11:00,87495.80,87577.40,87478.30,87533.70,322.117,28196022.23620,6643,168.718,14768867.38750
2025-02-26 01:12:00,87533.60,87591.60,87521.50,87572.90,155.049,13576582.19350,4158,85.136,7454639.94860
2025-02-26 01:13:00,87572.90,87686.50,87558.40,87558.50,337.918,29609420.90430,6161,127.185,11143823.00930
2025-02-26 01:14:00,87558.40,87577.30,87415.30,87449.80,141.207,12354011.43490,4136,44.786,3917941.78210
2025-02-26 01:15:00,87449.80,87538.00,87393.00,87434.40,212.122,18550993.64130,5236,100.968,8830488.09640
2025-02-26 01:16:00,87434.40,87434.40,87250.00,87250.10,343.429,29985995.59300,6292,150.828,13168228.17470
2025-02-26 01:17:00,87250.00,87314.40,87120.00,87120.10,516.361,45039102.97440,8147,173.188,15104568.58050
2025-02-26 01:18:00,87120.00,87207.50,87071.40,87125.50,354.284,30865673.86370,7696,213.276,18580945.48820
2025-02-26 01:19:00,87126.60,87181.30,87093.30,87100.00,178.395,15542073.64600,4413,76.514,6665402.96580
2025-02-26 01:20:00,87100.10,87221.40,86992.50,87176.20,336.089,29263730.13970,7310,106.908,9312522.03330
2025-02-26 01:21:00,87176.20,87224.10,87000.10,87019.10,220.873,19232293.61720,5996,94.825,8256180.32620
2025-02-26 01:22:00,87019.10,87025.10,86788.00,86856.40,663.352,57648867.96690,11758,223.348,19408722.51920
2025-02-26 01:23:00,86856.40,87025.10,86848.00,86994.50,388.184,33757709.15970,6799,281.211,24455953.13850
2025-02-26 01:24:00,86994.60,87182.50,86994.60,87153.00,220.077,19168392.02500,5050,149.787,13046839.97700
2025-02-26 01:25:00,87153.40,87250.00,87090.00,87250.00,363.508,31681905.47220,5982,225.549,19659520.22980
2025-02-26 01:26:00,87250.00,87347.30,87209.70,87294.50,231.518,20208052.26470,5359,131.541,11480640.39040
2025-02-26 01:27:00,87294.60,87398.30,87254.50,87331.50,142.300,12428567.35400,3557,77.687,6785531.98280
2025-02-26 01:28:00,87331.40,87437.90,87277.10,87437.80,124.139,10844366.81210,3824,58.310,5094293.34790
2025-02-26 01:29:00,87437.80,87510.00,87432.20,87483.60,328.254,28715891.51420,3928,139.590,12210121.35350
2025-02-26 01:30:00,87483.60,87588.00,87440.90,87472.60,205.975,18029452.46350,5502,104.465,9144282.01830
2025-02-26 01:31:00,87472.50,87775.00,87450.90,87772.30,483.930,42418779.07470,9701,279.261,24484744.41900
2025-02-26 01:32:00,87772.20,87774.70,87676.50,87764.30,383.078,33612645.63730,7024,137.652,12078351.60190
2025-02-26 01:33:00,87764.30,87774.40,87627.00,87654.10,252.571,22144467.56400,6517,115.171,10096231.85630
2025-02-26 01:34:00,87654.00,87700.10,87561.60,87596.20,211.610,18544771.69570,4755,84.682,7422522.48530
2025-02-26 01:35:00,87596.30,87606.30,87450.30,87480.60,378.313,33109188.50270,7252,116.100,10162049.63440
2025-02-26 01:36:00,87480.50,87539.10,87451.90,87477.70,270.413,23659799.71170,4719,180.994,15836251.28020
2025-02-26 01:37:00,87477.80,87587.90,87407.20,87421.10,268.637,23504436.44980,5380,160.134,14011340.33370
2025-02-26 01:38:00,87421.10,87421.10,87275.50,87316.40,256.213,22377944.75830,6301,89.689,7832641.08710
2025-02-26 01:39:00,87316.40,87430.00,87282.90,87325.00,259.714,22687142.00630,5440,186.079,16253723.96680
2025-02-26 01:40:00,87325.00,87444.80,87315.00,87375.30,212.602,18580274.06870,4949,77.405,6763979.66320
2025-02-26 01:41:00,87375.30,87381.80,87200.00,87208.40,184.686,16121985.68450,5011,68.736,6000641.12140
2025-02-26 01:42:00,87208.40,87215.20,87131.30,87167.30,215.785,18809047.59110,5654,108.509,9457937.12150
2025-02-26 01:43:00,87167.30,87295.50,87105.20,87128.70,225.277,19644928.08980,5304,114.667,10000560.59830
2025-02-26 01:44:00,87128.70,87168.90,87067.40,87088.10,177.490,15460681.18400,3965,89.374,7785023.13260
2025-02-26 01:45:00,87088.10,87126.30,86969.30,86999.90,325.979,28373761.88320,5986,133.543,11625211.26680
2025-02-26 01:46:00,87000.00,87027.50,86931.10,86949.80,235.963,20520515.36970,5354,131.470,11433101.82610
2025-02-26 01:47:00,86949.90,86970.70,86804.00,86892.10,535.964,46565552.94660,6055,137.955,11986068.22190
2025-02-26 01:48:00,86892.10,86971.20,86852.40,86866.00,418.458,36371255.57370,6150,278.149,24176972.46440
2025-02-26 01:49:00,86865.90,87032.80,86829.60,87007.50,301.096,26175018.54710,5020,180.342,15679660.24830
2025-02-26 01:50:00,87007.40,87062.50,86941.10,87028.30,237.572,20667620.76370,5489,127.818,11119586.29670
2025-02-26 01:51:00,87028.30,87146.40,87025.10,87041.90,253.023,22036546.85940,5469,128.761,11214412.34080
2025-02-26 01:52:00,87041.90,87127.10,87005.40,87012.30,137.365,11960691.99640,4027,88.488,7705247.92500
2025-02-26 01:53:00,87012.20,87014.10,86884.60,86963.50,222.266,19324568.65050,5653,111.213,9670114.63950
2025-02-26 01:54:00,86963.50,87057.50,86958.40,87005.60,160.220,13940485.66830,3488,99.400,8648697.96540
2025-02-26 01:55:00,87005.60,87140.10,87005.50,87077.60,138.713,12080411.00770,3686,74.595,6495396.86630
2025-02-26 01:56:00,87077.70,87169.20,87037.00,87169.20,101.915,8876181.02880,3404,53.636,4671273.32220
2025-02-26 01:57:00,87169.20,87250.00,87103.50,87226.60,144.281,12580328.28680,4006,95.717,8346466.18270
2025-02-26 01:58:00,87226.60,87236.00,87180.80,87185.20,86.263,7522729.79430,2602,44.526,3882938.71840
2025-02-26 01:59:00,87185.20,87241.40,87176.10,87219.70,119.700,10439337.49770,2421,58.051,5062535.81240
2025-02-26 02:00:00,87219.70,87308.00,87154.90,87223.80,406.742,35483418.13460,6678,210.077,18331868.20630
2025-02-26 02:01:00,87223.80,87398.60,87223.70,87374.80,272.733,23817978.58870,4974,200.584,17516406.95190
2025-02-26 02:02:00,87374.60,87398.60,87227.60,87270.40,123.309,10763991.57130,3860,59.275,5173686.48030
2025-02-26 02:03:00,87270.30,87419.40,87264.20,87384.50,440.407,38481420.88140,5709,314.492,27480561.23200
2025-02-26 02:04:00,87384.50,87499.00,87339.70,87461.20,209.566,18322164.09360,5195,95.701,8366720.56600
2025-02-26 02:05:00,87461.30,87521.70,87364.90,87444.60,221.539,19372434.87450,5986,121.340,10610647.23090
2025-02-26 02:06:00,87446.80,87647.00,87446.80,87643.10,361.702,31678590.68370,5303,233.443,20445110.82340
2025-02-26 02:07:00,87643.10,87770.00,87608.10,87761.70,479.842,42084179.07550,6585,254.243,22298752.28150
2025-02-26 02:08:00,87761.80,87769.90,87537.60,87610.10,286.237,25085669.57280,6358,106.443,9328286.03990
2025-02-26 02:09:00,87610.50,87621.30,87394.10,87394.10,236.412,20687109.13530,6829,85.254,7459111.05210
